Geography,Cases,Rate per 100000
"Rock Island County, IL","694","474.9"
"St. Clair County, IL","2,067","782.8"
"Saline County, IL","98","399.2"
"Sangamon County, IL","1,301","654.7"
"Schuyler County, IL","5","71.1"
"Scott County, IL","14","274.9"
"Shelby County, IL","39","179.1"
"Stark County, IL","7","120.9"
"Stephenson County, IL","205","448.1"
"Tazewell County, IL","358","265.6"
"Union County, IL","23","132.1"
"Vermilion County, IL","539","679.9"
"Wabash County, IL","26","225.3"
"Warren County, IL","41","233.9"
"Washington County, IL","18","126.1"
"Wayne County, IL","22","134.0"
"White County, IL","20","139.6"
"Whiteside County, IL","173","303.1"
"Will County, IL","2,563","372.9"
"Williamson County, IL","197","292.0"
"Winnebago County, IL","1,870","651.4"
"Woodford County, IL","60","153.0"
"Adams County, IN","91","260.1"
"Allen County, IN","2,203","597.9"
"Bartholomew County, IN","212","261.2"
"Benton County, IN","32","368.6"
"Blackford County, IN","41","333.4"
"Boone County, IN","185","292.1"
"Brown County, IN","21","140.2"
"Carroll County, IN","68","342.5"
"Cass County, IN","130","342.3"
"Clark County, IN","510","442.1"
"Clay County, IN","95","358.4"
"Clinton County, IN","116","355.7"
"Crawford County, IN","16","152.6"
"Daviess County, IN","74","224.9"
"Dearborn County, IN","83","167.8"
"Decatur County, IN","53","199.8"
"Dekalb County, IN","104","244.2"
"Delaware County, IN","674","576.8"
"Dubois County, IN","124","292.0"
"Elkhart County, IN","870","427.6"
"Fayette County, IN","62","264.6"
"Floyd County, IN","348","453.3"
"Fountain County, IN","56","337.5"
"Franklin County, IN","23","100.6"
"Fulton County, IN","39","192.0"
"Gibson County, IN","92","272.4"
"Grant County, IN","320","470.7"
"Greene County, IN","85","262.0"
"Hamilton County, IN","638","206.0"
"Hancock County, IN","217","299.2"
"Harrison County, IN","71","179.4"
"Hendricks County, IN","422","266.8"
"Henry County, IN","103","210.3"
"Howard County, IN","352","426.4"
"Huntington County, IN","108","294.8"
"Jackson County, IN","104","236.0"
"Jasper County, IN","97","289.8"
"Jay County, IN","50","236.7"
"Jefferson County, IN","116","357.8"
"Jennings County, IN","35","125.5"
"Johnson County, IN","522","348.9"
"Knox County, IN","161","424.5"
"Kosciusko County, IN","221","281.1"
"Lagrange County, IN","46","118.5"
"Lake County, IN","2,193","449.5"
"Laporte County, IN","435","392.3"
"Lawrence County, IN","91","200.0"
"Madison County, IN","467","360.0"
"Marion County, IN","9,815","1045.2"
